sample,FWExit_OR,FWExit_IncNum,year,watershed,NatalExit_OR,NatalExit_IncNum,reartype
DC18_18982,690.2318245,NA,2018,Deer Creek,646.4875053,NA,Late
DC18_18983,733.1289229,223,2018,Deer Creek,691.719376,204,Late
DC18_18984,757.8410538,179,2018,Deer Creek,709.5073206,165,Late
DC18_18985,858.0875917,210,2018,Deer Creek,739.0315566,184,Late
DC18_18986,830.7267014,220,2018,Deer Creek,791.7538932,212,Late
DC18_18987,775.7002824,223,2018,Deer Creek,733.1408634,205,Late
DC18_18988,759.6396064,230,2018,Deer Creek,708.36564,213,Late
DC18_68501,807.4019531,122,2018,Deer Creek,740.2077673,122,Late
DC18_68502,674.6541726,218,2018,Deer Creek,548.3909136,179,Late
DC18_68503,758.7274423,NA,2018,Deer Creek,705.2755793,NA,Late
DC18_68504,795.6264147,243,2018,Deer Creek,745.0807233,226,Late
DC18_68505,750.314963,217,2018,Deer Creek,653.8857451,180,Late
DC18_68506,754.1942568,253,2018,Deer Creek,688.2881775,232,Late
DC18_68507,769.5337591,231,2018,Deer Creek,715.1645669,207,Late
DC18_68508,837.7074563,200,2018,Deer Creek,765.2789047,185,Late
DC18_68509,706.4147692,240,2018,Deer Creek,659.6080927,217,Late
DC18_68510,800.2978301,132,2018,Deer Creek,752.4850071,132,Late
DC18_68511,726.8683029,200,2018,Deer Creek,625.7643921,155,Late
DC18_68512,547.8608723,79,2018,Deer Creek,302.28,22,Early
DC18_68513,755.4119293,206,2018,Deer Creek,673.1917834,178,Late
DC18_68515,816.4008739,179,2018,Deer Creek,773.1608716,179,Late
DC18_68516,757.76094,211,2018,Deer Creek,711.2503068,194,Late
DC18_68517,804.3511067,238,2018,Deer Creek,762.2467793,227,Late
DC18_68518,710.6069571,127,2018,Deer Creek,667.3521627,127,Late
DC18_68519,679.7370188,198,2018,Deer Creek,631.4996277,183,Late
DC18_68520,832.5860815,255,2018,Deer Creek,725.3352976,209,Late
FC001-1005-2012,718.2636564,229,2012,Mill Creek,679.2982292,213,Late
FC001-1012-2012,849.1288004,218,2012,Mill Creek,810.8735815,207,Late
FC002-1008-2012,798.0439803,212,2012,Mill Creek,709.3761529,176,Late
FC003-1008-2012,788.3503871,228,2012,Mill Creek,706.7562874,197,Late
FC004-1008-2012,775.5869174,222,2012,Mill Creek,728.6988641,207,Late
FC005-1008-2012,844.9204352,203,2012,Mill Creek,761.2588049,174,Late
FC006-1008-2012,855.8327386,259,2012,Mill Creek,799.9900225,226,Late
FC007-1008-2012,807.1848466,211,2012,Mill Creek,751.7729415,194,Late
FC008-1008-2012,876.9862032,279,2012,Mill Creek,822.479661,259,Late
FC011-1005-2012,742.1389624,185,2012,Mill Creek,691.6291323,171,Late
FC012-1005-2012,769.6627375,278,2012,Mill Creek,705.5807086,248,Late
FC10-09-14-#1,709.090359,183,2014,Mill Creek,634.8547475,160,Late
FC10-1-13 001,852.3460707,259,2013,Mill Creek,779.9680525,232,Late
FC10-10-14 #1,701.5349115,174,2014,Mill Creek,647.9914303,153,Late
FC10-10-14 #2,795.4138068,213,2014,Mill Creek,780.9102557,207,Late
FC10-10-14 #3,719.6130569,200,2014,Mill Creek,677.0996522,178,Late
FC10-11-13-001,621.2860268,125,2013,Mill Creek,461.6360821,82,Intermediate
FC10-11-13-003,782.8175592,137,2013,Mill Creek,667.6777771,137,Late
FC10-11-13-004,495.9778254,78,2013,Mill Creek,204.572,2,Early
FC10-11-13-005,589.4077328,132,2013,Mill Creek,522.2412397,114,Intermediate
FC10-11-13-006,620.9273793,174,2013,Mill Creek,551.4003288,146,Intermediate
FC10-13-14-01,500.7148855,77,2014,Mill Creek,227.227,2,Early
FC10-14-13-01,531.026527,56,2013,Mill Creek,254.278,2,Early
FC10-14-13-03,789.4359115,176,2013,Mill Creek,708.8153809,176,Late
FC10-14-13-04,708.225796,135,2013,Mill Creek,652.0102161,135,Late
FC10-14-13-05,573.7425545,102,2013,Mill Creek,237.033,2,Early
FC10-16-14 #1,730.6178115,NA,2014,Mill Creek,657.5251636,NA,Late
FC10-4-13-001,520.1068662,88,2013,Mill Creek,455.0309473,74,Intermediate
FC10-9-001,541.8833427,97,2013,Mill Creek,457.3164785,77,Intermediate
FC10-9-002,590.7936008,101,2013,Mill Creek,240.076,2,Early
FC10-9-004,471.8293943,74,2013,Mill Creek,225.536,2,Early
FC10-9-005,800.4998203,220,2013,Mill Creek,729.4142522,196,Late
FC10-9-006,507.3497704,89,2013,Mill Creek,319.6204559,36,Early
FC10-9-007,519.2750228,133,2013,Mill Creek,284.3209638,33,Early
FC10-9-13-001,783.6850236,205,2013,Mill Creek,695.6042466,172,Late
FC10-9-13-002,567.4881641,96,2013,Mill Creek,484.7828662,73,Intermediate
FC10-9-13-1,566.6364391,94,2013,Mill Creek,487.7989639,76,Intermediate
FC10-9-13-2,515.0447576,88,2013,Mill Creek,249.206,15,Early
FC10-9-13-3,484.8208186,89,2013,Mill Creek,293.9270672,24,Early
FC10/3/2014 #1,509.3433266,131,2014,Deer Creek,444.8308413,106,Intermediate
FC10/3/2014 #2,800.8939446,NA,2014,Deer Creek,717.2231459,NA,Late
FC10/3/2014 #3,803.2592719,213,2014,Deer Creek,753.3042049,193,Late
FC10162014001,921.7067916,169,2014,Mill Creek,886.4010319,169,Late
FC10162014002,810.8227159,234,2014,Mill Creek,743.5683777,209,Late
FC10162014003,583.1444773,103,2014,Mill Creek,282.05,21,Early
MC07_01,858.0636074,NA,2007,Mill Creek,806.2412038,NA,Late
MC07_02,750.0407716,NA,2007,Mill Creek,628.5837875,NA,Late
MC07_03,801.0270309,NA,2007,Mill Creek,697.8069369,NA,Late
MC07_04,481.5997735,77,2007,Mill Creek,331.217,33,Early
MC07_07,851.6879297,NA,2007,Mill Creek,690.0663846,NA,Late
MC07_08,596.449292,NA,2007,Mill Creek,493.3493399,NA,Intermediate
MC07_09,872.4532684,254,2007,Mill Creek,794.710884,219,Late
MC07_10,457.6130644,NA,2007,Mill Creek,229.111,NA,Early
MC07_11,473.0242867,NA,2007,Mill Creek,420.7395011,NA,Intermediate
MC07_12,469.0560468,NA,2007,Mill Creek,254.328,NA,Early
MC07_13,862.2965306,286,2007,Mill Creek,788.4271132,259,Late
MC07_14,477.4666086,NA,2007,Mill Creek,351.7241283,NA,Early
MC07_15,512.1309448,73,2007,Mill Creek,226.551,1,Early
MC07_16,584.8066289,120,2007,Mill Creek,287.1216821,27,Early
MC07_17,812.38089,NA,2007,Mill Creek,711.8544725,NA,Late
MC07_20,558.0625271,NA,2007,Mill Creek,292.03,NA,Early
MC07_21,538.4311059,NA,2007,Mill Creek,406.7430469,NA,Intermediate
MC07_22,529.2478078,98,2007,Mill Creek,294.4058984,33,Early
