Year,Month,Date,Flow
1997,2,2/13/1997,112745
1997,2,2/14/1997,105214
1997,2,2/15/1997,99171
1997,2,2/16/1997,93007
1997,2,2/17/1997,87165
1997,2,2/18/1997,82272
1997,2,2/19/1997,79757
1997,2,2/20/1997,79927
1997,2,2/21/1997,77917
1997,2,2/22/1997,82076
1997,2,2/23/1997,81143
1997,2,2/24/1997,77552
1997,2,2/25/1997,74813
1997,2,2/26/1997,74711
1997,2,2/27/1997,71546
1997,2,2/28/1997,69814
1997,3,3/1/1997,69138
1997,3,3/2/1997,70831
1997,3,3/3/1997,68613
1997,3,3/4/1997,65130
1997,3,3/5/1997,60947
1997,3,3/6/1997,55345
1997,3,3/7/1997,48061
1997,3,3/8/1997,42928
1997,3,3/9/1997,38970
1997,3,3/10/1997,37635
1997,3,3/11/1997,34672
1997,3,3/12/1997,31478
1997,3,3/13/1997,28448
1997,3,3/14/1997,26417
1997,3,3/15/1997,23957
1997,3,3/16/1997,23087
1997,3,3/17/1997,23766
1997,3,3/18/1997,23604
1997,3,3/19/1997,25945
1997,3,3/20/1997,26386
1997,3,3/21/1997,24362
1997,3,3/22/1997,23619
1997,3,3/23/1997,21651
1997,3,3/24/1997,21770
1997,3,3/25/1997,21488
1997,3,3/26/1997,21032
1997,3,3/27/1997,20542
1997,3,3/28/1997,19604
1997,3,3/29/1997,17783
1997,3,3/30/1997,13894
1997,3,3/31/1997,15918
1997,4,4/1/1997,17053
1997,4,4/2/1997,16291
1997,4,4/3/1997,15453
1997,4,4/4/1997,15456
1997,4,4/5/1997,13059
1997,4,4/6/1997,10672
1997,4,4/7/1997,11025
1997,4,4/8/1997,10153
1997,4,4/9/1997,9429
1997,4,4/10/1997,9158
1997,4,4/11/1997,10346
1997,4,4/12/1997,8474
1997,4,4/13/1997,8677
1997,4,4/14/1997,9603
1997,4,4/15/1997,13537
1997,4,4/16/1997,13013
1997,4,4/17/1997,13622
1997,4,4/18/1997,13849
1997,4,4/19/1997,16574
1997,4,4/20/1997,17677
1997,4,4/21/1997,19140
1997,4,4/22/1997,20869
1997,4,4/23/1997,21359
1997,4,4/24/1997,19611
1997,4,4/25/1997,17617
1997,4,4/26/1997,17105
1997,4,4/27/1997,15325
1997,4,4/28/1997,14269
1997,4,4/29/1997,14187
1997,4,4/30/1997,13783
1997,5,5/1/1997,14130
1997,5,5/2/1997,13403
1997,5,5/3/1997,13049
1997,5,5/4/1997,12880
1997,5,5/5/1997,13071
1997,5,5/6/1997,13013
1997,5,5/7/1997,12268
1997,5,5/8/1997,12235
1997,5,5/9/1997,12515
1997,5,5/10/1997,12233
1997,5,5/11/1997,12728
1997,5,5/12/1997,12809
1997,5,5/13/1997,12808
1997,5,5/14/1997,14339
1997,5,5/15/1997,13829
1997,5,5/16/1997,13308
1997,5,5/17/1997,12538
1997,5,5/18/1997,9151
1997,5,5/19/1997,11742
1997,5,5/20/1997,11906
1997,5,5/21/1997,12148
1997,5,5/22/1997,11810
1997,5,5/23/1997,13217
1997,5,5/24/1997,14684
1997,5,5/25/1997,12653
1997,5,5/26/1997,12696
1997,5,5/27/1997,12178
1997,5,5/28/1997,11482
1997,5,5/29/1997,9878
1997,5,5/30/1997,9172
1997,5,5/31/1997,8969
1997,6,6/1/1997,8211
1997,6,6/2/1997,7843
1997,6,6/3/1997,7866
1997,6,6/4/1997,9082
1997,6,6/5/1997,8742
1997,6,6/6/1997,9323
1997,6,6/7/1997,10575
1997,6,6/8/1997,9515
1997,6,6/9/1997,8622
1997,6,6/10/1997,7910
1997,6,6/11/1997,7944
1997,6,6/12/1997,7327
1997,6,6/13/1997,8141
1997,6,6/14/1997,8140
1997,6,6/15/1997,8274
1997,6,6/16/1997,9578
1997,6,6/17/1997,9172
1997,6,6/18/1997,8879
1997,6,6/19/1997,7626
1997,6,6/20/1997,7481
1997,6,6/21/1997,7173
1997,6,6/22/1997,7447
1997,6,6/23/1997,7180
1997,6,6/24/1997,6705
1997,6,6/25/1997,7377
1997,6,6/26/1997,7873
1997,6,6/27/1997,8214
1997,6,6/28/1997,8180
1997,6,6/29/1997,8882
1997,6,6/30/1997,9918
1997,7,7/1/1997,9191
1997,7,7/2/1997,8460
1997,7,7/3/1997,8135
1997,7,7/4/1997,8210
1997,7,7/5/1997,8096
1997,7,7/6/1997,8397
1997,7,7/7/1997,8290
1997,7,7/8/1997,8408
1997,7,7/9/1997,9922
1997,7,7/10/1997,11351
1997,7,7/11/1997,11352
1997,7,7/12/1997,11780
1997,7,7/13/1997,10930
1997,7,7/14/1997,12648
1997,7,7/15/1997,10865
1997,7,7/16/1997,10046
1997,7,7/17/1997,10078
1997,7,7/18/1997,9560
1997,7,7/19/1997,8743
1997,7,7/20/1997,8721
1997,7,7/21/1997,9110
1997,7,7/22/1997,9490
1997,7,7/23/1997,9367
1997,7,7/24/1997,9935
1997,7,7/25/1997,8945
1997,7,7/26/1997,8749
1997,7,7/27/1997,8703
1997,7,7/28/1997,8788
1997,7,7/29/1997,8196
1997,7,7/30/1997,7878
1997,7,7/31/1997,8532
1997,8,8/1/1997,8096
1997,8,8/2/1997,8162
1997,8,8/3/1997,8285
1997,8,8/4/1997,8179
1997,8,8/5/1997,7984
1997,8,8/6/1997,8048
1997,8,8/7/1997,10201
1997,8,8/8/1997,9084
1997,8,8/9/1997,12358
1997,8,8/10/1997,13987
1997,8,8/11/1997,12966
1997,8,8/12/1997,12253
1997,8,8/13/1997,11967
1997,8,8/14/1997,11410
1997,8,8/15/1997,9218
1997,8,8/16/1997,6659
1997,8,8/17/1997,8550
1997,8,8/18/1997,8978
1997,8,8/19/1997,8228
1997,8,8/20/1997,7785
1997,8,8/21/1997,7427
1997,8,8/22/1997,6825
1997,8,8/23/1997,7309
1997,8,8/24/1997,7908
1997,8,8/25/1997,8699
1997,8,8/26/1997,8960
1997,8,8/27/1997,7434
1997,8,8/28/1997,7249
1997,8,8/29/1997,5839
1997,8,8/30/1997,5178
1997,8,8/31/1997,5027
1997,9,9/1/1997,5093
1997,9,9/2/1997,4788
1997,9,9/3/1997,4902
1997,9,9/4/1997,6965
1997,9,9/5/1997,5699
1997,9,9/6/1997,4979
1997,9,9/7/1997,5255
1997,9,9/8/1997,5153
1997,9,9/9/1997,4776
1997,9,9/10/1997,4897
1997,9,9/11/1997,4446
1997,9,9/12/1997,3735
1997,9,9/13/1997,3215
1997,9,9/14/1997,3086
1997,9,9/15/1997,2737
1997,9,9/16/1997,2605
1997,9,9/17/1997,2329
1997,9,9/18/1997,3368
1997,9,9/19/1997,2994
1997,9,9/20/1997,2955
1997,9,9/21/1997,3072
1997,9,9/22/1997,3093
1997,9,9/23/1997,5147
1997,9,9/24/1997,5162
1997,9,9/25/1997,4826
1997,9,9/26/1997,3346
1997,9,9/27/1997,2935
1997,9,9/28/1997,2388
1997,9,9/29/1997,2611
1997,9,9/30/1997,2738
1997,10,10/1/1997,3987
1997,10,10/2/1997,4941
1997,10,10/3/1997,4219
1997,10,10/4/1997,4325
1997,10,10/5/1997,3768
1997,10,10/6/1997,3082
1997,10,10/7/1997,5053
1997,10,10/8/1997,4617
1997,10,10/9/1997,6363
1997,10,10/10/1997,5647
1997,10,10/11/1997,7321
1997,10,10/12/1997,7053
1997,10,10/13/1997,6475
1997,10,10/14/1997,3500
1997,10,10/15/1997,2711
1997,10,10/16/1997,3088
1997,10,10/17/1997,3872
1997,10,10/18/1997,4958
1997,10,10/19/1997,4221
1997,10,10/20/1997,5011
1997,10,10/21/1997,6009
1997,10,10/22/1997,6572
1997,10,10/23/1997,6155
1997,10,10/24/1997,6023
1997,10,10/25/1997,4547
1997,10,10/26/1997,4206
1997,10,10/27/1997,4826
1997,10,10/28/1997,4714
1997,10,10/29/1997,4908
1997,10,10/30/1997,4442
1997,10,10/31/1997,3488
1997,11,11/1/1997,4016
1997,11,11/2/1997,3283
1997,11,11/3/1997,3834
1997,11,11/4/1997,3776
1997,11,11/5/1997,2974
1997,11,11/6/1997,4038
1997,11,11/7/1997,4033
1997,11,11/8/1997,5029
1997,11,11/9/1997,4626
1997,11,11/10/1997,7897
1997,11,11/11/1997,8759
1997,11,11/12/1997,8982
1997,11,11/13/1997,13214
1997,11,11/14/1997,14540
1997,11,11/15/1997,14177
1997,11,11/16/1997,13633
1997,11,11/17/1997,13502
1997,11,11/18/1997,7559
1997,11,11/19/1997,8999
1997,11,11/20/1997,7940
1997,11,11/21/1997,7965
1997,11,11/22/1997,8520
1997,11,11/23/1997,7420
1997,11,11/24/1997,7818
1997,11,11/25/1997,9651
1997,11,11/26/1997,14707
1997,11,11/27/1997,19582
1997,11,11/28/1997,23636
1997,11,11/29/1997,24665
1997,11,11/30/1997,21631
1997,12,12/1/1997,18182
1997,12,12/2/1997,24708
1997,12,12/3/1997,22513
1997,12,12/4/1997,19200
1997,12,12/5/1997,13771
1997,12,12/6/1997,13596
1997,12,12/7/1997,18203
1997,12,12/8/1997,23733
1997,12,12/9/1997,28250
1997,12,12/10/1997,27758
1997,12,12/11/1997,22592
1997,12,12/12/1997,14447
1997,12,12/13/1997,11510
1997,12,12/14/1997,15303
1997,12,12/15/1997,15320
1997,12,12/16/1997,18192
1997,12,12/17/1997,23304
1997,12,12/18/1997,21546
1997,12,12/19/1997,13370
1997,12,12/20/1997,13386
1997,12,12/21/1997,12300
1997,12,12/22/1997,11702
1997,12,12/23/1997,9113
1997,12,12/24/1997,7204
1997,12,12/25/1997,6261
1997,12,12/26/1997,5524
1997,12,12/27/1997,5250
1997,12,12/28/1997,4783
1997,12,12/29/1997,4209
1997,12,12/30/1997,3921
1997,12,12/31/1997,3873
1998,1,1/1/1998,3747
1998,1,1/2/1998,5438
1998,1,1/3/1998,6935
1998,1,1/4/1998,14175
1998,1,1/5/1998,21029
1998,1,1/6/1998,24742
1998,1,1/7/1998,20662
1998,1,1/8/1998,17712
1998,1,1/9/1998,16874
1998,1,1/10/1998,18841
1998,1,1/11/1998,20679
1998,1,1/12/1998,39744
1998,1,1/13/1998,59864
1998,1,1/14/1998,75035
1998,1,1/15/1998,85988
1998,1,1/16/1998,102711
1998,1,1/17/1998,115058
1998,1,1/18/1998,125248
1998,1,1/19/1998,129177
1998,1,1/20/1998,124222
1998,1,1/21/1998,120530
1998,1,1/22/1998,114798
1998,1,1/23/1998,102570
1998,1,1/24/1998,96733
1998,1,1/25/1998,93083
1998,1,1/26/1998,88580
1998,1,1/27/1998,88036
1998,1,1/28/1998,88229
1998,1,1/29/1998,98108
1998,1,1/30/1998,107612
1998,1,1/31/1998,108856
1998,2,2/1/1998,109147
1998,2,2/2/1998,118817
1998,2,2/3/1998,190682
1998,2,2/4/1998,240909
1998,2,2/5/1998,259547
1998,2,2/6/1998,283342
1998,2,2/7/1998,297268
1998,2,2/8/1998,311298
1998,2,2/9/1998,304498
1998,2,2/10/1998,291973
1998,2,2/11/1998,271149
1998,2,2/12/1998,250226
1998,2,2/13/1998,235790
1998,2,2/14/1998,233887
1998,2,2/15/1998,243027
1998,2,2/16/1998,233961
1998,2,2/17/1998,226385
1998,2,2/18/1998,207827
1998,2,2/19/1998,197410
1998,2,2/20/1998,206777
1998,2,2/21/1998,198035
1998,2,2/22/1998,223864
1998,2,2/23/1998,222335
1998,2,2/24/1998,214861
1998,2,2/25/1998,200528
1998,2,2/26/1998,186143
1998,2,2/27/1998,172795
1998,2,2/28/1998,159232
1998,3,3/1/1998,148497
1998,3,3/2/1998,138483
1998,3,3/3/1998,132570
1998,3,3/4/1998,126863
1998,3,3/5/1998,121828
1998,3,3/6/1998,119025
1998,3,3/7/1998,114595
1998,3,3/8/1998,108952
1998,3,3/9/1998,104046
1998,3,3/10/1998,97454
1998,3,3/11/1998,92048
1998,3,3/12/1998,86990
1998,3,3/13/1998,83077
1998,3,3/14/1998,79506
1998,3,3/15/1998,76659
1998,3,3/16/1998,74730
1998,3,3/17/1998,72549
1998,3,3/18/1998,69154
1998,3,3/19/1998,67732
1998,3,3/20/1998,69871
1998,3,3/21/1998,71646
1998,3,3/22/1998,74357
1998,3,3/23/1998,82639
1998,3,3/24/1998,96670
1998,3,3/25/1998,121649
1998,3,3/26/1998,134174
1998,3,3/27/1998,141730
1998,3,3/28/1998,140511
1998,3,3/29/1998,136511
1998,3,3/30/1998,130552
1998,3,3/31/1998,127048
1998,4,4/1/1998,121676
1998,4,4/2/1998,113574
1998,4,4/3/1998,115550
1998,4,4/4/1998,117367
1998,4,4/5/1998,113195
1998,4,4/6/1998,110490
1998,4,4/7/1998,107256
1998,4,4/8/1998,102367
1998,4,4/9/1998,101096
1998,4,4/10/1998,98882
1998,4,4/11/1998,96930
1998,4,4/12/1998,95074
1998,4,4/13/1998,96384
1998,4,4/14/1998,95778
1998,4,4/15/1998,94981
1998,4,4/16/1998,90321
1998,4,4/17/1998,85896
1998,4,4/18/1998,79736
1998,4,4/19/1998,75760
1998,4,4/20/1998,72562
1998,4,4/21/1998,70152
1998,4,4/22/1998,67905
1998,4,4/23/1998,66402
1998,4,4/24/1998,67130
1998,4,4/25/1998,68426
1998,4,4/26/1998,68368
1998,4,4/27/1998,67499
1998,4,4/28/1998,67340
1998,4,4/29/1998,66459
1998,4,4/30/1998,65281
1998,5,5/1/1998,63554
1998,5,5/2/1998,65963
1998,5,5/3/1998,68144
1998,5,5/4/1998,69998
1998,5,5/5/1998,71920
1998,5,5/6/1998,72961
1998,5,5/7/1998,70511
1998,5,5/8/1998,69471
1998,5,5/9/1998,67224
1998,5,5/10/1998,63802
1998,5,5/11/1998,61484
1998,5,5/12/1998,63533
1998,5,5/13/1998,66911
1998,5,5/14/1998,69912
1998,5,5/15/1998,71812
1998,5,5/16/1998,70556
1998,5,5/17/1998,67836
1998,5,5/18/1998,67929
1998,5,5/19/1998,67930
1998,5,5/20/1998,66869
1998,5,5/21/1998,64366
1998,5,5/22/1998,60294
1998,5,5/23/1998,57922
1998,5,5/24/1998,55917
1998,5,5/25/1998,55405
1998,5,5/26/1998,56499
1998,5,5/27/1998,59424
1998,5,5/28/1998,67559
1998,5,5/29/1998,75553
1998,5,5/30/1998,81558
1998,5,5/31/1998,88533
1998,6,6/1/1998,99772
1998,6,6/2/1998,105153
1998,6,6/3/1998,100078
1998,6,6/4/1998,92678
1998,6,6/5/1998,85883
1998,6,6/6/1998,82231
1998,6,6/7/1998,82171
1998,6,6/8/1998,79624
1998,6,6/9/1998,77166
1998,6,6/10/1998,74669
1998,6,6/11/1998,72216
1998,6,6/12/1998,70469
1998,6,6/13/1998,70947
1998,6,6/14/1998,71294
1998,6,6/15/1998,72773
1998,6,6/16/1998,75013
1998,6,6/17/1998,75343
1998,6,6/18/1998,73831
1998,6,6/19/1998,70288
1998,6,6/20/1998,65117
1998,6,6/21/1998,61568
1998,6,6/22/1998,61166
1998,6,6/23/1998,60060
1998,6,6/24/1998,59666
1998,6,6/25/1998,57027
1998,6,6/26/1998,52487
1998,6,6/27/1998,51098
1998,6,6/28/1998,50675
1998,6,6/29/1998,49848
1998,6,6/30/1998,48984
1998,7,7/1/1998,47830
1998,7,7/2/1998,44807
1998,7,7/3/1998,42533
1998,7,7/4/1998,41279
1998,7,7/5/1998,39871
1998,7,7/6/1998,39171
1998,7,7/7/1998,40209
1998,7,7/8/1998,40628
1998,7,7/9/1998,39673
1998,7,7/10/1998,36460
1998,7,7/11/1998,36164
1998,7,7/12/1998,36189
1998,7,7/13/1998,38749
1998,7,7/14/1998,37152
1998,7,7/15/1998,30761
1998,7,7/16/1998,28935
1998,7,7/17/1998,27922
1998,7,7/18/1998,27264
1998,7,7/19/1998,25978
1998,7,7/20/1998,25320
1998,7,7/21/1998,24260
1998,7,7/22/1998,24287
1998,7,7/23/1998,23712
1998,7,7/24/1998,23010
1998,7,7/25/1998,22923
1998,7,7/26/1998,19886
1998,7,7/27/1998,21650
1998,7,7/28/1998,21496
1998,7,7/29/1998,21731
1998,7,7/30/1998,21375
1998,7,7/31/1998,20941
1998,8,8/1/1998,20206
1998,8,8/2/1998,17708
1998,8,8/3/1998,20097
1998,8,8/4/1998,20093
1998,8,8/5/1998,20139
1998,8,8/6/1998,21558
1998,8,8/7/1998,19729
1998,8,8/8/1998,19401
1998,8,8/9/1998,18157
1998,8,8/10/1998,20674
1998,8,8/11/1998,20278
1998,8,8/12/1998,20496
1998,8,8/13/1998,19926
1998,8,8/14/1998,20292
1998,8,8/15/1998,20465
1998,8,8/16/1998,17381
1998,8,8/17/1998,19183
1998,8,8/18/1998,19209
1998,8,8/19/1998,19700
1998,8,8/20/1998,20772
1998,8,8/21/1998,21611
1998,8,8/22/1998,21608
1998,8,8/23/1998,19753
1998,8,8/24/1998,21093
1998,8,8/25/1998,20871
1998,8,8/26/1998,20837
1998,8,8/27/1998,20890
1998,8,8/28/1998,20860
1998,8,8/29/1998,20136
1998,8,8/30/1998,17660
1998,8,8/31/1998,19535
1998,9,9/1/1998,20204
1998,9,9/2/1998,21846
1998,9,9/3/1998,20569
1998,9,9/4/1998,20767
1998,9,9/5/1998,22203
1998,9,9/6/1998,21993
1998,9,9/7/1998,22530
1998,9,9/8/1998,23556
1998,9,9/9/1998,23489
1998,9,9/10/1998,23197
1998,9,9/11/1998,23656
1998,9,9/12/1998,21692
1998,9,9/13/1998,19102
1998,9,9/14/1998,20016
1998,9,9/15/1998,20918
1998,9,9/16/1998,18912
1998,9,9/17/1998,19588
1998,9,9/18/1998,20177
1998,9,9/19/1998,18551
1998,9,9/20/1998,18460
1998,9,9/21/1998,19156
1998,9,9/22/1998,18398
1998,9,9/23/1998,19191
1998,9,9/24/1998,19338
1998,9,9/25/1998,18146
1998,9,9/26/1998,17081
1998,9,9/27/1998,18015
1998,9,9/28/1998,17586
1998,9,9/29/1998,18023
1998,9,9/30/1998,17142
1998,10,10/1/1998,18817
1998,10,10/2/1998,18388
1998,10,10/3/1998,17415
1998,10,10/4/1998,14695
1998,10,10/5/1998,15512
1998,10,10/6/1998,14491
1998,10,10/7/1998,13707
1998,10,10/8/1998,13737
1998,10,10/9/1998,12820
1998,10,10/10/1998,12935
1998,10,10/11/1998,11749
1998,10,10/12/1998,12430
1998,10,10/13/1998,11948
1998,10,10/14/1998,11083
1998,10,10/15/1998,10439
1998,10,10/16/1998,10584
1998,10,10/17/1998,9593
1998,10,10/18/1998,8104
1998,10,10/19/1998,8496
1998,10,10/20/1998,8059
1998,10,10/21/1998,7596
1998,10,10/22/1998,6899
1998,10,10/23/1998,7320
1998,10,10/24/1998,13122
1998,10,10/25/1998,12946
1998,10,10/26/1998,14799
1998,10,10/27/1998,15183
1998,10,10/28/1998,16725
1998,10,10/29/1998,10813
1998,10,10/30/1998,10595
1998,10,10/31/1998,10219
1998,11,11/1/1998,6886
1998,11,11/2/1998,8710
1998,11,11/3/1998,9336
1998,11,11/4/1998,9355
1998,11,11/5/1998,8534
1998,11,11/6/1998,8513
1998,11,11/7/1998,9881
1998,11,11/8/1998,10878
1998,11,11/9/1998,13126
1998,11,11/10/1998,14409
1998,11,11/11/1998,14561
1998,11,11/12/1998,13306
1998,11,11/13/1998,12475
1998,11,11/14/1998,13348
1998,11,11/15/1998,14363
1998,11,11/16/1998,16561
1998,11,11/17/1998,18324
1998,11,11/18/1998,19455
1998,11,11/19/1998,19775
1998,11,11/20/1998,22258
1998,11,11/21/1998,23580
1998,11,11/22/1998,24208
1998,11,11/23/1998,29911
1998,11,11/24/1998,35092
1998,11,11/25/1998,39696
1998,11,11/26/1998,40742
1998,11,11/27/1998,42887
1998,11,11/28/1998,37255
1998,11,11/29/1998,37995
1998,11,11/30/1998,41673
1998,12,12/1/1998,47052
1998,12,12/2/1998,49892
1998,12,12/3/1998,56718
1998,12,12/4/1998,61450
1998,12,12/5/1998,62934
1998,12,12/6/1998,65515
1998,12,12/7/1998,66751
1998,12,12/8/1998,66396
1998,12,12/9/1998,66009
1998,12,12/10/1998,63716
1998,12,12/11/1998,61586
1998,12,12/12/1998,59872
1998,12,12/13/1998,58445
1998,12,12/14/1998,56801
1998,12,12/15/1998,55659
1998,12,12/16/1998,54420
1998,12,12/17/1998,50338
1998,12,12/18/1998,44806
1998,12,12/19/1998,43216
1998,12,12/20/1998,42325
1998,12,12/21/1998,40375
1998,12,12/22/1998,39738
1998,12,12/23/1998,35124
1998,12,12/24/1998,32366
1998,12,12/25/1998,29982
1998,12,12/26/1998,29002
1998,12,12/27/1998,25743
1998,12,12/28/1998,25808
1998,12,12/29/1998,24946
1998,12,12/30/1998,24150
1998,12,12/31/1998,23345
1999,1,1/1/1999,22558
1999,1,1/2/1999,21934
1999,1,1/3/1999,21836
1999,1,1/4/1999,22402
1999,1,1/5/1999,22540
1999,1,1/6/1999,21429
1999,1,1/7/1999,20675
1999,1,1/8/1999,19731
1999,1,1/9/1999,19326
1999,1,1/10/1999,18345
1999,1,1/11/1999,17935
1999,1,1/12/1999,17898
1999,1,1/13/1999,16155
1999,1,1/14/1999,13189
1999,1,1/15/1999,15814
1999,1,1/16/1999,16564
1999,1,1/17/1999,17633
1999,1,1/18/1999,24259
1999,1,1/19/1999,33642
1999,1,1/20/1999,45891
1999,1,1/21/1999,67886
1999,1,1/22/1999,73077
1999,1,1/23/1999,72830
1999,1,1/24/1999,74510
1999,1,1/25/1999,74523
1999,1,1/26/1999,71028
1999,1,1/27/1999,71538
1999,1,1/28/1999,66580
1999,1,1/29/1999,62071
1999,1,1/30/1999,56904
1999,1,1/31/1999,57970
1999,2,2/1/1999,53984
1999,2,2/2/1999,49607
1999,2,2/3/1999,44934
1999,2,2/4/1999,41522
1999,2,2/5/1999,36702
1999,2,2/6/1999,41029
1999,2,2/7/1999,63910
1999,2,2/8/1999,78538
1999,2,2/9/1999,101954
1999,2,2/10/1999,128184
1999,2,2/11/1999,143179
1999,2,2/12/1999,133170
1999,2,2/13/1999,124294
1999,2,2/14/1999,111619
1999,2,2/15/1999,104093
1999,2,2/16/1999,97469
1999,2,2/17/1999,102499
1999,2,2/18/1999,126505
1999,2,2/19/1999,134562
1999,2,2/20/1999,135703
1999,2,2/21/1999,137023
1999,2,2/22/1999,135618
1999,2,2/23/1999,129116
1999,2,2/24/1999,117443
1999,2,2/25/1999,105250
1999,2,2/26/1999,99416
1999,2,2/27/1999,95144
1999,2,2/28/1999,94055
1999,3,3/1/1999,94931
1999,3,3/2/1999,99065
1999,3,3/3/1999,103401
1999,3,3/4/1999,103650
1999,3,3/5/1999,101673
1999,3,3/6/1999,99417
1999,3,3/7/1999,95019
1999,3,3/8/1999,92396
1999,3,3/9/1999,90730
1999,3,3/10/1999,88536
1999,3,3/11/1999,83683
1999,3,3/12/1999,80432
1999,3,3/13/1999,74216
1999,3,3/14/1999,70020
1999,3,3/15/1999,68675
1999,3,3/16/1999,65594
1999,3,3/17/1999,62467
1999,3,3/18/1999,58616
1999,3,3/19/1999,54510
1999,3,3/20/1999,52960
1999,3,3/21/1999,47964
1999,3,3/22/1999,45840
1999,3,3/23/1999,42412
1999,3,3/24/1999,39766
1999,3,3/25/1999,39888
1999,3,3/26/1999,44654
1999,3,3/27/1999,50708
1999,3,3/28/1999,51370
1999,3,3/29/1999,48779
1999,3,3/30/1999,46935
1999,3,3/31/1999,44014
1999,4,4/1/1999,39704
1999,4,4/2/1999,36409
1999,4,4/3/1999,32684
1999,4,4/4/1999,30684
1999,4,4/5/1999,31162
1999,4,4/6/1999,33555
1999,4,4/7/1999,33190
1999,4,4/8/1999,34028
1999,4,4/9/1999,34368
1999,4,4/10/1999,31154
1999,4,4/11/1999,32658
1999,4,4/12/1999,34970
1999,4,4/13/1999,40427
1999,4,4/14/1999,43753
1999,4,4/15/1999,40562
1999,4,4/16/1999,37685
1999,4,4/17/1999,40266
1999,4,4/18/1999,40115
1999,4,4/19/1999,41211
