"Date","Year","Month","Tributary","Area","Temp"
"February 1, 2008","2008",2,"Deer Creek","Lower",6
"March 1, 2008","2008",3,"Deer Creek","Lower",7.3
"April 1, 2008","2008",4,"Deer Creek","Lower",8.7
"May 1, 2008","2008",5,"Deer Creek","Lower",12.7
"June 1, 2008","2008",6,"Deer Creek","Lower",17
"July 1, 2008","2008",7,"Deer Creek","Lower",19.5
"August 1, 2008","2008",8,"Deer Creek","Lower",19.4
"September 1, 2008","2008",9,"Deer Creek","Lower",15.3
"October 1, 2008","2008",10,"Deer Creek","Lower",10.7
"November 1, 2008","2008",11,"Deer Creek","Lower",8.4
"December 1, 2008","2008",12,"Deer Creek","Lower",4.3
"January 1, 2009","2009",1,"Deer Creek","Lower",4.8
"February 1, 2009","2009",2,"Deer Creek","Lower",5.7
"March 1, 2009","2009",3,"Deer Creek","Lower",7.3
"April 1, 2009","2009",4,"Deer Creek","Lower",9.9
"May 1, 2009","2009",5,"Deer Creek","Lower",14.1
"June 1, 2009","2009",6,"Deer Creek","Lower",17.2
"July 1, 2009","2009",7,"Deer Creek","Lower",20.2
"August 1, 2009","2009",8,"Deer Creek","Lower",19
"September 1, 2009","2009",9,"Deer Creek","Lower",16.4
"October 1, 2009","2009",10,"Deer Creek","Lower",11.1
"November 1, 2009","2009",11,"Deer Creek","Lower",7.8
"December 1, 2009","2009",12,"Deer Creek","Lower",5.1
"January 1, 2010","2010",1,"Deer Creek","Lower",4.8
"February 1, 2010","2010",2,"Deer Creek","Lower",5.7
"March 1, 2010","2010",3,"Deer Creek","Lower",7.3
"April 1, 2010","2010",4,"Deer Creek","Lower",8.5
"May 1, 2010","2010",5,"Deer Creek","Lower",9.6
"June 1, 2010","2010",6,"Deer Creek","Lower",14.9
"July 1, 2010","2010",7,"Deer Creek","Lower",19.5
"August 1, 2010","2010",8,"Deer Creek","Lower",17.8
"September 1, 2010","2010",9,"Deer Creek","Lower",15.1
"October 1, 2010","2010",10,"Deer Creek","Lower",12
"November 1, 2010","2010",11,"Deer Creek","Lower",7
"December 1, 2010","2010",12,"Deer Creek","Lower",6.2
"January 1, 2011","2011",1,"Deer Creek","Lower",5.1
"February 1, 2011","2011",2,"Deer Creek","Lower",5
"March 1, 2011","2011",3,"Deer Creek","Lower",6.6
"April 1, 2011","2011",4,"Deer Creek","Lower",7.5
"May 1, 2011","2011",5,"Deer Creek","Lower",9.2
"June 1, 2011","2011",6,"Deer Creek","Lower",12.5
"July 1, 2011","2011",7,"Deer Creek","Lower",17
"August 1, 2011","2011",8,"Deer Creek","Lower",17.1
"September 1, 2011","2011",9,"Deer Creek","Lower",15.4
"October 1, 2011","2011",10,"Deer Creek","Lower",11.2
"November 1, 2011","2011",11,"Deer Creek","Lower",6.7
"December 1, 2011","2011",12,"Deer Creek","Lower",4
"January 1, 2012","2012",1,"Deer Creek","Lower",4.7
"February 1, 2012","2012",2,"Deer Creek","Lower",5.9
"March 1, 2012","2012",3,"Deer Creek","Lower",6.7
"April 1, 2012","2012",4,"Deer Creek","Lower",8.7
"May 1, 2012","2012",5,"Deer Creek","Lower",13.1
"June 1, 2012","2012",6,"Deer Creek","Lower",16.4
"July 1, 2012","2012",7,"Deer Creek","Lower",18.8
"August 1, 2012","2012",8,"Deer Creek","Lower",18.6
"September 1, 2012","2012",9,"Deer Creek","Lower",15.8
"October 1, 2012","2012",10,"Deer Creek","Lower",11.7
"November 1, 2012","2012",11,"Deer Creek","Lower",8.2
"December 1, 2012","2012",12,"Deer Creek","Lower",5.9
"January 1, 2013","2013",1,"Deer Creek","Lower",4
"February 1, 2013","2013",2,"Deer Creek","Lower",5.1
"March 1, 2013","2013",3,"Deer Creek","Lower",7.9
"April 1, 2013","2013",4,"Deer Creek","Lower",10.7
"May 1, 2013","2013",5,"Deer Creek","Lower",14.5
"June 1, 2013","2013",6,"Deer Creek","Lower",17.8
"July 1, 2013","2013",7,"Deer Creek","Lower",20.3
"August 1, 2013","2013",8,"Deer Creek","Lower",18.3
"September 1, 2013","2013",9,"Deer Creek","Lower",15.6
"October 1, 2013","2013",10,"Deer Creek","Lower",10.3
"November 1, 2013","2013",11,"Deer Creek","Lower",7
"December 1, 2013","2013",12,"Deer Creek","Lower",3.5
"January 1, 2014","2014",1,"Deer Creek","Lower",5.2
"February 1, 2014","2014",2,"Deer Creek","Lower",6.7
"March 1, 2014","2014",3,"Deer Creek","Lower",8.4
"April 1, 2014","2014",4,"Deer Creek","Lower",10.9
"May 1, 2014","2014",5,"Deer Creek","Lower",15.1
"June 1, 2014","2014",6,"Deer Creek","Lower",18.6
"July 1, 2014","2014",7,"Deer Creek","Lower",20.6
"August 1, 2014","2014",8,"Deer Creek","Lower",19.3
"September 1, 2014","2014",9,"Deer Creek","Lower",16.6
"October 1, 2014","2014",10,"Deer Creek","Lower",12.4
"November 1, 2014","2014",11,"Deer Creek","Lower",8.5
"December 1, 2014","2014",12,"Deer Creek","Lower",7.4
