"Date","Year","Month","Day","Tributary","Area","Temp"
2004-04-14,2004,4,14,"Deer Creek","Upper",6.93
2004-04-15,2004,4,15,"Deer Creek","Upper",6.68
2004-04-16,2004,4,16,"Deer Creek","Upper",6.42
2004-04-17,2004,4,17,"Deer Creek","Upper",6.18
2004-04-18,2004,4,18,"Deer Creek","Upper",5.85
2004-04-19,2004,4,19,"Deer Creek","Upper",5.63
2004-04-20,2004,4,20,"Deer Creek","Upper",5.78
2004-04-21,2004,4,21,"Deer Creek","Upper",6.03
2004-04-22,2004,4,22,"Deer Creek","Upper",6.51
2004-04-23,2004,4,23,"Deer Creek","Upper",7.19
2004-04-24,2004,4,24,"Deer Creek","Upper",7.88
2004-04-25,2004,4,25,"Deer Creek","Upper",8.53
2004-04-26,2004,4,26,"Deer Creek","Upper",9.07
2004-04-27,2004,4,27,"Deer Creek","Upper",9.37
2004-04-28,2004,4,28,"Deer Creek","Upper",9.04
2004-04-29,2004,4,29,"Deer Creek","Upper",8.54
2004-04-30,2004,4,30,"Deer Creek","Upper",8.62
2004-05-01,2004,5,1,"Deer Creek","Upper",9
2004-05-02,2004,5,2,"Deer Creek","Upper",9.52
2004-05-03,2004,5,3,"Deer Creek","Upper",10.03
2004-05-04,2004,5,4,"Deer Creek","Upper",10.09
2004-05-05,2004,5,5,"Deer Creek","Upper",9.68
2004-05-06,2004,5,6,"Deer Creek","Upper",9.2
2004-05-07,2004,5,7,"Deer Creek","Upper",9.14
2004-05-08,2004,5,8,"Deer Creek","Upper",9.09
2004-05-09,2004,5,9,"Deer Creek","Upper",9.04
2004-05-10,2004,5,10,"Deer Creek","Upper",9.01
2004-05-11,2004,5,11,"Deer Creek","Upper",8.63
2004-05-12,2004,5,12,"Deer Creek","Upper",8.59
2004-05-13,2004,5,13,"Deer Creek","Upper",9.02
2004-05-14,2004,5,14,"Deer Creek","Upper",9.52
2004-05-15,2004,5,15,"Deer Creek","Upper",9.91
2004-05-16,2004,5,16,"Deer Creek","Upper",10.08
2004-05-17,2004,5,17,"Deer Creek","Upper",9.96
2004-05-18,2004,5,18,"Deer Creek","Upper",9.69
2004-05-19,2004,5,19,"Deer Creek","Upper",9.6
2004-05-20,2004,5,20,"Deer Creek","Upper",9.71
2004-05-21,2004,5,21,"Deer Creek","Upper",9.73
2004-05-22,2004,5,22,"Deer Creek","Upper",9.61
2004-05-23,2004,5,23,"Deer Creek","Upper",9.76
2004-05-24,2004,5,24,"Deer Creek","Upper",10.13
2004-05-25,2004,5,25,"Deer Creek","Upper",10.51
2004-05-26,2004,5,26,"Deer Creek","Upper",10.88
2004-05-27,2004,5,27,"Deer Creek","Upper",10.48
2004-05-28,2004,5,28,"Deer Creek","Upper",9.63
2004-05-29,2004,5,29,"Deer Creek","Upper",9.62
2004-05-30,2004,5,30,"Deer Creek","Upper",10.36
2004-05-31,2004,5,31,"Deer Creek","Upper",11.07
2004-06-01,2004,6,1,"Deer Creek","Upper",11.61
2004-06-02,2004,6,2,"Deer Creek","Upper",12.12
2004-06-03,2004,6,3,"Deer Creek","Upper",12.44
2004-06-04,2004,6,4,"Deer Creek","Upper",12.71
2004-06-05,2004,6,5,"Deer Creek","Upper",13.03
2004-06-06,2004,6,6,"Deer Creek","Upper",12.91
2004-06-07,2004,6,7,"Deer Creek","Upper",11.94
2004-06-08,2004,6,8,"Deer Creek","Upper",11.06
2004-06-09,2004,6,9,"Deer Creek","Upper",11.1
2004-06-10,2004,6,10,"Deer Creek","Upper",11.53
2004-06-11,2004,6,11,"Deer Creek","Upper",12.02
2004-06-12,2004,6,12,"Deer Creek","Upper",12.65
2004-06-13,2004,6,13,"Deer Creek","Upper",13.23
2004-06-14,2004,6,14,"Deer Creek","Upper",13.92
2004-06-15,2004,6,15,"Deer Creek","Upper",14.69
2004-06-16,2004,6,16,"Deer Creek","Upper",14.81
2004-06-17,2004,6,17,"Deer Creek","Upper",14.24
2004-06-18,2004,6,18,"Deer Creek","Upper",13.71
2004-06-19,2004,6,19,"Deer Creek","Upper",13.67
2004-06-20,2004,6,20,"Deer Creek","Upper",13.94
2004-06-21,2004,6,21,"Deer Creek","Upper",14.31
2004-06-22,2004,6,22,"Deer Creek","Upper",14.32
2004-06-23,2004,6,23,"Deer Creek","Upper",14.11
2004-06-24,2004,6,24,"Deer Creek","Upper",14.04
2004-06-25,2004,6,25,"Deer Creek","Upper",14.25
2004-06-26,2004,6,26,"Deer Creek","Upper",14.58
2004-06-27,2004,6,27,"Deer Creek","Upper",14.9
2004-06-28,2004,6,28,"Deer Creek","Upper",15.01
2004-06-29,2004,6,29,"Deer Creek","Upper",14.63
2004-06-30,2004,6,30,"Deer Creek","Upper",14.09
2004-07-01,2004,7,1,"Deer Creek","Upper",14.12
2004-07-02,2004,7,2,"Deer Creek","Upper",14.8
2004-07-03,2004,7,3,"Deer Creek","Upper",15.22
2004-07-04,2004,7,4,"Deer Creek","Upper",15.42
2004-07-05,2004,7,5,"Deer Creek","Upper",15.84
2004-07-06,2004,7,6,"Deer Creek","Upper",16.17
2004-07-07,2004,7,7,"Deer Creek","Upper",15.62
2004-07-08,2004,7,8,"Deer Creek","Upper",14.57
2004-07-09,2004,7,9,"Deer Creek","Upper",13.93
2004-07-10,2004,7,10,"Deer Creek","Upper",13.9
2004-07-11,2004,7,11,"Deer Creek","Upper",14.27
2004-07-12,2004,7,12,"Deer Creek","Upper",14.6
2004-07-13,2004,7,13,"Deer Creek","Upper",14.55
2004-07-14,2004,7,14,"Deer Creek","Upper",14.3
2004-07-15,2004,7,15,"Deer Creek","Upper",14.35
2004-07-16,2004,7,16,"Deer Creek","Upper",14.65
2004-07-17,2004,7,17,"Deer Creek","Upper",15.02
2004-07-18,2004,7,18,"Deer Creek","Upper",15.26
2004-07-19,2004,7,19,"Deer Creek","Upper",15.45
2004-07-20,2004,7,20,"Deer Creek","Upper",15.52
2004-07-21,2004,7,21,"Deer Creek","Upper",15.6
2004-07-22,2004,7,22,"Deer Creek","Upper",15.79
2004-07-23,2004,7,23,"Deer Creek","Upper",15.81
2004-07-24,2004,7,24,"Deer Creek","Upper",15.65
2004-07-25,2004,7,25,"Deer Creek","Upper",15.52
2004-07-26,2004,7,26,"Deer Creek","Upper",15.51
2004-07-27,2004,7,27,"Deer Creek","Upper",15.54
2004-07-28,2004,7,28,"Deer Creek","Upper",15.44
2004-07-29,2004,7,29,"Deer Creek","Upper",15.14
2004-07-30,2004,7,30,"Deer Creek","Upper",14.97
2004-07-31,2004,7,31,"Deer Creek","Upper",14.78
2004-08-01,2004,8,1,"Deer Creek","Upper",14.41
2004-08-02,2004,8,2,"Deer Creek","Upper",14.04
2004-08-03,2004,8,3,"Deer Creek","Upper",14.1
2004-08-04,2004,8,4,"Deer Creek","Upper",14.48
2004-08-05,2004,8,5,"Deer Creek","Upper",14.4
2004-08-06,2004,8,6,"Deer Creek","Upper",14.23
2004-08-07,2004,8,7,"Deer Creek","Upper",14.62
2004-08-08,2004,8,8,"Deer Creek","Upper",15.12
2004-08-09,2004,8,9,"Deer Creek","Upper",15.26
2004-08-10,2004,8,10,"Deer Creek","Upper",15.25
2004-08-11,2004,8,11,"Deer Creek","Upper",15.33
2004-08-12,2004,8,12,"Deer Creek","Upper",15.53
2004-08-13,2004,8,13,"Deer Creek","Upper",15.59
2004-08-14,2004,8,14,"Deer Creek","Upper",15.14
2004-08-15,2004,8,15,"Deer Creek","Upper",14.63
2004-08-16,2004,8,16,"Deer Creek","Upper",14.64
2004-08-17,2004,8,17,"Deer Creek","Upper",15.07
2004-08-18,2004,8,18,"Deer Creek","Upper",15.56
2004-08-19,2004,8,19,"Deer Creek","Upper",15.66
2004-08-20,2004,8,20,"Deer Creek","Upper",15.58
2004-08-21,2004,8,21,"Deer Creek","Upper",15.3
2004-08-22,2004,8,22,"Deer Creek","Upper",14.46
2004-08-23,2004,8,23,"Deer Creek","Upper",14.11
2004-08-24,2004,8,24,"Deer Creek","Upper",14.29
2004-08-25,2004,8,25,"Deer Creek","Upper",14.24
2004-08-26,2004,8,26,"Deer Creek","Upper",14.34
2004-08-27,2004,8,27,"Deer Creek","Upper",14.68
2004-08-28,2004,8,28,"Deer Creek","Upper",15.1
2004-08-29,2004,8,29,"Deer Creek","Upper",15.29
2004-08-30,2004,8,30,"Deer Creek","Upper",15.25
2004-08-31,2004,8,31,"Deer Creek","Upper",15.2
2004-09-01,2004,9,1,"Deer Creek","Upper",15.09
2004-09-02,2004,9,2,"Deer Creek","Upper",14.65
2004-09-03,2004,9,3,"Deer Creek","Upper",14.18
2004-09-04,2004,9,4,"Deer Creek","Upper",14.35
2004-09-05,2004,9,5,"Deer Creek","Upper",14.74
2004-09-06,2004,9,6,"Deer Creek","Upper",14.97
2004-09-07,2004,9,7,"Deer Creek","Upper",15.3
2004-09-08,2004,9,8,"Deer Creek","Upper",15.51
2004-09-09,2004,9,9,"Deer Creek","Upper",15.45
2004-09-10,2004,9,10,"Deer Creek","Upper",15.21
2004-09-11,2004,9,11,"Deer Creek","Upper",15.06
2004-09-12,2004,9,12,"Deer Creek","Upper",14.88
2004-09-13,2004,9,13,"Deer Creek","Upper",14.51
2004-09-14,2004,9,14,"Deer Creek","Upper",14.4
2004-09-15,2004,9,15,"Deer Creek","Upper",14.72
2004-09-16,2004,9,16,"Deer Creek","Upper",14.95
2004-09-17,2004,9,17,"Deer Creek","Upper",14.49
2004-09-18,2004,9,18,"Deer Creek","Upper",13.11
2004-09-19,2004,9,19,"Deer Creek","Upper",11.67
2004-09-20,2004,9,20,"Deer Creek","Upper",11.59
2004-09-21,2004,9,21,"Deer Creek","Upper",12.35
2004-09-22,2004,9,22,"Deer Creek","Upper",12.85
2004-09-23,2004,9,23,"Deer Creek","Upper",13.25
2004-09-24,2004,9,24,"Deer Creek","Upper",13.6
2004-09-25,2004,9,25,"Deer Creek","Upper",13.77
2004-09-26,2004,9,26,"Deer Creek","Upper",13.71
2004-09-27,2004,9,27,"Deer Creek","Upper",13.51
2004-09-28,2004,9,28,"Deer Creek","Upper",13.16
2004-09-29,2004,9,29,"Deer Creek","Upper",12.83
2004-09-30,2004,9,30,"Deer Creek","Upper",12.85
2004-10-01,2004,10,1,"Deer Creek","Upper",12.99
2004-10-02,2004,10,2,"Deer Creek","Upper",13.25
2004-10-03,2004,10,3,"Deer Creek","Upper",13.54
2004-10-04,2004,10,4,"Deer Creek","Upper",13.62
2004-10-05,2004,10,5,"Deer Creek","Upper",13.47
2004-10-06,2004,10,6,"Deer Creek","Upper",13.2
2004-10-07,2004,10,7,"Deer Creek","Upper",12.63
2004-10-08,2004,10,8,"Deer Creek","Upper",12.2
2004-10-09,2004,10,9,"Deer Creek","Upper",11.5
2004-10-10,2004,10,10,"Deer Creek","Upper",11.23
2004-10-11,2004,10,11,"Deer Creek","Upper",11.98
2004-10-12,2004,10,12,"Deer Creek","Upper",12.68
2004-10-13,2004,10,13,"Deer Creek","Upper",13.08
2004-10-14,2004,10,14,"Deer Creek","Upper",12.55
2004-10-15,2004,10,15,"Deer Creek","Upper",11.71
2004-10-16,2004,10,16,"Deer Creek","Upper",10.53
2004-10-17,2004,10,17,"Deer Creek","Upper",8.76
2004-10-18,2004,10,18,"Deer Creek","Upper",7.46
2004-10-19,2004,10,19,"Deer Creek","Upper",6.83
2004-10-20,2004,10,20,"Deer Creek","Upper",6.43
2004-10-21,2004,10,21,"Deer Creek","Upper",6.44
2004-10-22,2004,10,22,"Deer Creek","Upper",6.72
2004-10-23,2004,10,23,"Deer Creek","Upper",6.68
2004-10-24,2004,10,24,"Deer Creek","Upper",6.47
2004-10-25,2004,10,25,"Deer Creek","Upper",6.47
2004-10-26,2004,10,26,"Deer Creek","Upper",6.07
2004-10-27,2004,10,27,"Deer Creek","Upper",5.7
2004-10-28,2004,10,28,"Deer Creek","Upper",5.84
2004-10-29,2004,10,29,"Deer Creek","Upper",5.94
2004-10-30,2004,10,30,"Deer Creek","Upper",5.91
2004-10-31,2004,10,31,"Deer Creek","Upper",5.64
2004-11-01,2004,11,1,"Deer Creek","Upper",5.51
2004-11-02,2004,11,2,"Deer Creek","Upper",5.74
2004-11-03,2004,11,3,"Deer Creek","Upper",5.64
2004-11-04,2004,11,4,"Deer Creek","Upper",5.29
2004-11-05,2004,11,5,"Deer Creek","Upper",5.37
2004-11-06,2004,11,6,"Deer Creek","Upper",5.63
2004-11-07,2004,11,7,"Deer Creek","Upper",5.81
2004-11-08,2004,11,8,"Deer Creek","Upper",6.05
2004-11-09,2004,11,9,"Deer Creek","Upper",6.27
2004-11-10,2004,11,10,"Deer Creek","Upper",6.38
2004-11-11,2004,11,11,"Deer Creek","Upper",6.32
2004-11-12,2004,11,12,"Deer Creek","Upper",6.34
2004-11-13,2004,11,13,"Deer Creek","Upper",6.35
2004-11-14,2004,11,14,"Deer Creek","Upper",6.1
2004-11-15,2004,11,15,"Deer Creek","Upper",5.96
2004-11-16,2004,11,16,"Deer Creek","Upper",5.98
2004-11-17,2004,11,17,"Deer Creek","Upper",5.9
2004-11-18,2004,11,18,"Deer Creek","Upper",5.65
2004-11-19,2004,11,19,"Deer Creek","Upper",5.19
2004-11-20,2004,11,20,"Deer Creek","Upper",4.62
2004-11-21,2004,11,21,"Deer Creek","Upper",4.2
2004-11-22,2004,11,22,"Deer Creek","Upper",4.02
2004-11-23,2004,11,23,"Deer Creek","Upper",4.04
2004-11-24,2004,11,24,"Deer Creek","Upper",4.1
2004-11-25,2004,11,25,"Deer Creek","Upper",4.13
2004-11-26,2004,11,26,"Deer Creek","Upper",4.3
2004-11-27,2004,11,27,"Deer Creek","Upper",4.19
2004-11-28,2004,11,28,"Deer Creek","Upper",3.51
2004-11-29,2004,11,29,"Deer Creek","Upper",2.91
2004-11-30,2004,11,30,"Deer Creek","Upper",2.7
2004-12-01,2004,12,1,"Deer Creek","Upper",2.7
2004-12-02,2004,12,2,"Deer Creek","Upper",2.75
2004-12-03,2004,12,3,"Deer Creek","Upper",2.75
2004-12-04,2004,12,4,"Deer Creek","Upper",2.61
2004-12-05,2004,12,5,"Deer Creek","Upper",2.69
2004-12-06,2004,12,6,"Deer Creek","Upper",3.21
2004-12-07,2004,12,7,"Deer Creek","Upper",3.93
2004-12-08,2004,12,8,"Deer Creek","Upper",4.72
2004-12-09,2004,12,9,"Deer Creek","Upper",5.13
2004-12-10,2004,12,10,"Deer Creek","Upper",4.93
2004-12-11,2004,12,11,"Deer Creek","Upper",4.65
2004-12-12,2004,12,12,"Deer Creek","Upper",4.69
2004-12-13,2004,12,13,"Deer Creek","Upper",5.04
2004-12-14,2004,12,14,"Deer Creek","Upper",5.07
2004-12-15,2004,12,15,"Deer Creek","Upper",4.51
2004-12-16,2004,12,16,"Deer Creek","Upper",4.08
2004-12-17,2004,12,17,"Deer Creek","Upper",3.93
2004-12-18,2004,12,18,"Deer Creek","Upper",3.87
2004-12-19,2004,12,19,"Deer Creek","Upper",3.8
2004-12-20,2004,12,20,"Deer Creek","Upper",3.57
2004-12-21,2004,12,21,"Deer Creek","Upper",3.48
2004-12-22,2004,12,22,"Deer Creek","Upper",3.48
2004-12-23,2004,12,23,"Deer Creek","Upper",3.34
2004-12-24,2004,12,24,"Deer Creek","Upper",3.14
2004-12-25,2004,12,25,"Deer Creek","Upper",2.96
2004-12-26,2004,12,26,"Deer Creek","Upper",3.26
2004-12-27,2004,12,27,"Deer Creek","Upper",4.07
2004-12-28,2004,12,28,"Deer Creek","Upper",4.65
2004-12-29,2004,12,29,"Deer Creek","Upper",4.59
2004-12-30,2004,12,30,"Deer Creek","Upper",4.33
2004-12-31,2004,12,31,"Deer Creek","Upper",4.06
2005-01-01,2005,1,1,"Deer Creek","Upper",3.84
2005-01-02,2005,1,2,"Deer Creek","Upper",3.69
2005-01-03,2005,1,3,"Deer Creek","Upper",3.61
2005-01-04,2005,1,4,"Deer Creek","Upper",3.6
2005-01-05,2005,1,5,"Deer Creek","Upper",3.72
2005-01-06,2005,1,6,"Deer Creek","Upper",3.85
2005-01-07,2005,1,7,"Deer Creek","Upper",3.68
2005-01-08,2005,1,8,"Deer Creek","Upper",3.56
2005-01-09,2005,1,9,"Deer Creek","Upper",3.74
2005-01-10,2005,1,10,"Deer Creek","Upper",3.89
2005-01-11,2005,1,11,"Deer Creek","Upper",3.83
2005-01-12,2005,1,12,"Deer Creek","Upper",3.48
2005-01-13,2005,1,13,"Deer Creek","Upper",3.14
2005-01-14,2005,1,14,"Deer Creek","Upper",3.27
2005-01-15,2005,1,15,"Deer Creek","Upper",3.58
2005-01-16,2005,1,16,"Deer Creek","Upper",4
2005-01-17,2005,1,17,"Deer Creek","Upper",4.23
2005-01-18,2005,1,18,"Deer Creek","Upper",4.24
2005-01-19,2005,1,19,"Deer Creek","Upper",4.24
2005-01-20,2005,1,20,"Deer Creek","Upper",4.18
2005-01-21,2005,1,21,"Deer Creek","Upper",4.12
2005-01-22,2005,1,22,"Deer Creek","Upper",3.95
2005-01-23,2005,1,23,"Deer Creek","Upper",3.82
2005-01-24,2005,1,24,"Deer Creek","Upper",4
2005-01-25,2005,1,25,"Deer Creek","Upper",4.51
2005-01-26,2005,1,26,"Deer Creek","Upper",5.03
2005-01-27,2005,1,27,"Deer Creek","Upper",5.1
2005-01-28,2005,1,28,"Deer Creek","Upper",4.79
2005-01-29,2005,1,29,"Deer Creek","Upper",4.33
2005-01-30,2005,1,30,"Deer Creek","Upper",3.99
2005-01-31,2005,1,31,"Deer Creek","Upper",4.08
2005-02-01,2005,2,1,"Deer Creek","Upper",4.26
2005-02-02,2005,2,2,"Deer Creek","Upper",4.32
2005-02-03,2005,2,3,"Deer Creek","Upper",4.45
2005-02-04,2005,2,4,"Deer Creek","Upper",4.5
2005-02-05,2005,2,5,"Deer Creek","Upper",4.42
2005-02-06,2005,2,6,"Deer Creek","Upper",4.46
2005-02-07,2005,2,7,"Deer Creek","Upper",4.52
2005-02-08,2005,2,8,"Deer Creek","Upper",4.44
2005-02-09,2005,2,9,"Deer Creek","Upper",4.41
2005-02-10,2005,2,10,"Deer Creek","Upper",4.43
2005-02-11,2005,2,11,"Deer Creek","Upper",4.44
2005-02-12,2005,2,12,"Deer Creek","Upper",4.72
2005-02-13,2005,2,13,"Deer Creek","Upper",4.97
2005-02-14,2005,2,14,"Deer Creek","Upper",4.87
2005-02-15,2005,2,15,"Deer Creek","Upper",4.84
2005-02-16,2005,2,16,"Deer Creek","Upper",5
2005-02-17,2005,2,17,"Deer Creek","Upper",5.22
2005-02-18,2005,2,18,"Deer Creek","Upper",5.17
2005-02-19,2005,2,19,"Deer Creek","Upper",5.17
2005-02-20,2005,2,20,"Deer Creek","Upper",5.25
2005-02-21,2005,2,21,"Deer Creek","Upper",5.27
2005-02-22,2005,2,22,"Deer Creek","Upper",5.41
2005-02-23,2005,2,23,"Deer Creek","Upper",5.38
2005-02-24,2005,2,24,"Deer Creek","Upper",5.26
2005-02-25,2005,2,25,"Deer Creek","Upper",5.43
2005-02-26,2005,2,26,"Deer Creek","Upper",5.49
2005-02-27,2005,2,27,"Deer Creek","Upper",5.34
2005-02-28,2005,2,28,"Deer Creek","Upper",5.24
2005-03-01,2005,3,1,"Deer Creek","Upper",5.17
2005-03-02,2005,3,2,"Deer Creek","Upper",5.16
2005-03-03,2005,3,3,"Deer Creek","Upper",5.14
2005-03-04,2005,3,4,"Deer Creek","Upper",5.38
2005-03-05,2005,3,5,"Deer Creek","Upper",5.68
2005-03-06,2005,3,6,"Deer Creek","Upper",5.85
2005-03-07,2005,3,7,"Deer Creek","Upper",6.1
2005-03-08,2005,3,8,"Deer Creek","Upper",6.42
2005-03-09,2005,3,9,"Deer Creek","Upper",6.68
2005-03-10,2005,3,10,"Deer Creek","Upper",6.8
2005-03-11,2005,3,11,"Deer Creek","Upper",6.86
2005-03-12,2005,3,12,"Deer Creek","Upper",6.88
2005-03-13,2005,3,13,"Deer Creek","Upper",6.54
2005-03-14,2005,3,14,"Deer Creek","Upper",5.98
2005-03-15,2005,3,15,"Deer Creek","Upper",5.67
2005-03-16,2005,3,16,"Deer Creek","Upper",5.48
2005-03-17,2005,3,17,"Deer Creek","Upper",5.57
2005-03-18,2005,3,18,"Deer Creek","Upper",5.76
2005-03-19,2005,3,19,"Deer Creek","Upper",5.6
2005-03-20,2005,3,20,"Deer Creek","Upper",5.28
2005-03-21,2005,3,21,"Deer Creek","Upper",5.02
2005-03-22,2005,3,22,"Deer Creek","Upper",5.01
2005-03-23,2005,3,23,"Deer Creek","Upper",5.02
2005-03-24,2005,3,24,"Deer Creek","Upper",4.86
2005-03-25,2005,3,25,"Deer Creek","Upper",4.9
2005-03-26,2005,3,26,"Deer Creek","Upper",5.34
2005-03-27,2005,3,27,"Deer Creek","Upper",5.58
2005-03-28,2005,3,28,"Deer Creek","Upper",5.41
2005-03-29,2005,3,29,"Deer Creek","Upper",5.14
2005-03-30,2005,3,30,"Deer Creek","Upper",5.03
2005-03-31,2005,3,31,"Deer Creek","Upper",5.32
2005-04-01,2005,4,1,"Deer Creek","Upper",5.66
2005-04-02,2005,4,2,"Deer Creek","Upper",5.88
2005-04-03,2005,4,3,"Deer Creek","Upper",5.6
2005-04-04,2005,4,4,"Deer Creek","Upper",5.26
2005-04-05,2005,4,5,"Deer Creek","Upper",5.64
2005-04-06,2005,4,6,"Deer Creek","Upper",6.26
2005-04-07,2005,4,7,"Deer Creek","Upper",6.26
2005-04-08,2005,4,8,"Deer Creek","Upper",5.56
2005-04-09,2005,4,9,"Deer Creek","Upper",5.32
